"","X","SubjectID","ExperimentName","Session","Age","Handedness","Sex","CRESP","List2","PairCode","Sound1","Sound2","PWType","WordType","zMFCC","Condition","RESP","Trial","RT","ACC","SyllPos","TrialType","c_Trial"
"39",39,"Base_Test1_204","Test1",2,24,"right","female","1","16","Word vs In FW","padoti.wav","tudoti.wav",NA,4,1.07074586855259,"Familiar",1,39,971,1,"Initial","Word vs FW",10.4190445448677
"40",40,"Base_Test1_204","Test1",2,24,"right","female","1","30","Word vs Fin FW","bidaku.wav","bidabu.wav",NA,2,-1.34526988854491,"Familiar",1,40,1586,1,"Final","Word vs FW",11.4190445448677
"41",41,"Base_Test1_204","Test1",2,24,"right","female","1","24","Word vs Med FW","padoti.wav","padati.wav",NA,4,-1.38984163125101,"Familiar",1,41,1052,1,"Medial","Word vs FW",12.4190445448677
"42",42,"Base_Test1_204","Test1",2,24,"right","female","1","21","Word vs Med FW","golabu.wav","godabu.wav",NA,1,-1.60739314711274,"Familiar",5,42,1215,0,"Medial","Word vs FW",13.4190445448677
"43",43,"Base_Test1_204","Test1",2,24,"right","female","1","7","Word vs PW","tupiro.wav","titupi.wav",1,3,NA,"Familiar",1,43,1019,1,NA,"Word vs PW",14.4190445448677
"44",44,"Base_Test1_204","Test1",2,24,"right","female","5","20","Word vs Med FW","papiti.wav","padoti.wav",NA,4,0.291753243007115,"Familiar",1,44,1228,0,"Medial","Word vs FW",15.4190445448677
"45",45,"Base_Test1_204","Test1",2,24,"right","female","5","4","Word vs PW","dotitu.wav","padoti.wav",2,4,NA,"Familiar",5,45,981,1,NA,"Word vs PW",16.4190445448677
"46",46,"Base_Test1_204","Test1",2,24,"right","female","5","3","Word vs PW","piropa.wav","tupiro.wav",2,3,NA,"Familiar",5,46,916,1,NA,"Word vs PW",17.4190445448677
"47",47,"Base_Test1_204","Test1",2,24,"right","female","5","2","Word vs PW","dakugo.wav","bidaku.wav",2,2,NA,"Familiar",5,47,1038,1,NA,"Word vs PW",18.4190445448677
"48",48,"Base_Test1_204","Test1",2,24,"right","female","1","23","Word vs Med FW","tupiro.wav","tudoro.wav",NA,3,0.291753243007115,"Familiar",1,48,1263,1,"Medial","Word vs FW",19.4190445448677
"49",49,"Base_Test1_204","Test1",2,24,"right","female","5","47","PW vs Med FW","tudoro.wav","butupi.wav",1,3,0.291753243007115,"Familiar",5,49,964,1,"Medial","PW vs FW",20.4190445448677
"50",50,"Base_Test1_204","Test1",2,24,"right","female","5","39","PW vs In FW","papiro.wav","titupi.wav",1,3,1.07074586855259,"Familiar",1,50,1034,0,"Initial","PW vs FW",21.4190445448677
"51",51,"Base_Test1_204","Test1",2,24,"right","female","5","27","Word vs Fin FW","tupiti.wav","tupiro.wav",NA,3,1.35174727276499,"Familiar",1,51,1064,0,"Final","Word vs FW",22.4190445448677
"52",52,"Base_Test1_204","Test1",2,24,"right","female","1","33","PW vs In FW","labubi.wav","tulabu.wav",2,1,-0.275458580478951,"Familiar",5,52,872,0,"Initial","PW vs FW",23.4190445448677
"53",53,"Base_Test1_204","Test1",2,24,"right","female","5","37","PW vs In FW","bilabu.wav","rogola.wav",1,1,0.781961875630439,"Familiar",1,53,922,0,"Initial","PW vs FW",24.4190445448677
