"","X","SubjectID","ExperimentName","Session","Age","Handedness","Sex","CRESP","List2","PairCode","Sound1","Sound2","PWType","WordType","zMFCC","Condition","RESP","Trial","RT","ACC","SyllPos","TrialType","c_Trial"
"56",12208,"Base_NNL_801","NNL",1,17,"right","female","5","30","Word vs Fin FW","bidaro.wav","bidaku.wav",NA,2,1.3494944975745,"Unfamiliar",1,56,1148,0,"Final","Word vs FW",27.4190445448677
"57",12209,"Base_NNL_802","NNL",2,30,"right","male","1","28","Word vs Fin FW","padoti.wav","padoro.wav",NA,4,0.820638616656125,"Unfamiliar",1,1,4215,1,"Final","Word vs FW",-27.5809554551323
"58",12210,"Base_NNL_802","NNL",2,30,"right","male","5","7","Word vs PW","labubi.wav","golabu.wav",2,1,NA,"Unfamiliar",1,2,2535,0,NA,"Word vs PW",-26.5809554551323
"59",12211,"Base_NNL_802","NNL",2,30,"right","male","5","15","Word vs In FW","gopiro.wav","tupiro.wav",NA,3,-0.539772457704594,"Unfamiliar",1,3,2482,0,"Initial","Word vs FW",-25.5809554551323
"60",12212,"Base_NNL_802","NNL",2,30,"right","male","5","23","Word vs Med FW","tularo.wav","tupiro.wav",NA,3,0.681696431891337,"Unfamiliar",5,4,2342,1,"Medial","Word vs FW",-24.5809554551323
"61",12213,"Base_NNL_802","NNL",2,30,"right","male","5","53","PW vs Fin FW","golati.wav","labupa.wav",2,1,1.07824849447084,"Unfamiliar",5,5,1861,1,"Final","PW vs FW",-23.5809554551323
"62",12214,"Base_NNL_802","NNL",2,30,"right","male","5","32","Word vs Fin FW","padobu.wav","padoti.wav",NA,4,1.07824849447084,"Unfamiliar",5,6,1786,1,"Final","Word vs FW",-22.5809554551323
"63",12215,"Base_NNL_802","NNL",2,30,"right","male","1","48","PW vs Med FW","pirogo.wav","tularo.wav",2,3,0.681696431891337,"Unfamiliar",1,7,2064,1,"Medial","PW vs FW",-21.5809554551323
"64",12216,"Base_NNL_802","NNL",2,30,"right","male","1","20","Word vs Med FW","padoti.wav","padati.wav",NA,4,1.5060831821829,"Unfamiliar",1,8,2016,1,"Medial","Word vs FW",-20.5809554551323
"65",12217,"Base_NNL_802","NNL",2,30,"right","male","5","13","Word vs In FW","tulabu.wav","golabu.wav",NA,1,-0.539772457704594,"Unfamiliar",1,9,1895,0,"Initial","Word vs FW",-19.5809554551323
"66",12218,"Base_NNL_802","NNL",2,30,"right","male","5","3","Word vs PW","bubida.wav","bidaku.wav",1,2,NA,"Unfamiliar",1,10,1974,0,NA,"Word vs PW",-18.5809554551323
"67",12219,"Base_NNL_802","NNL",2,30,"right","male","5","37","PW vs In FW","tulabu.wav","labubi.wav",2,1,-0.539772457704594,"Unfamiliar",1,11,1547,0,"Initial","PW vs FW",-17.5809554551323
